#rank	DiaBLE_node	p_hyper
1	PF4	6.623724571876422e-08
2	CXCL12	1.5648119595703284e-09
3	CXCL6	4.712635990106909e-09
4	CCL8	2.0769589227302105e-09
5	CXCL10	7.983347791646089e-11
6	CCL13	2.105253260547861e-12
7	CXCL11	3.7960562487952144e-14
8	CCL26	1.70233845244799e-14
9	XCL1	7.647364826909851e-16
10	CXCL17	4.936279379582106e-18
11	CCL28	2.1737589147304643e-18
12	CXCL14	1.8189324225379348e-19
13	CCL21	3.1824869253153546e-20
14	CXCL9	6.848732343425672e-21
15	PPBP	5.028926145854932e-22
16	XCL2	1.5089777963391506e-19
17	PF4V1	2.573782785694027e-16
18	CCL25	2.3079093630221622e-12
19	CCL24	1.5310837125624917e-11
20	CCL20	2.1209011132273894e-11
21	VCAN	1.999503371833245e-11
22	CCL17	1.3541819766053371e-09
23	CXCL5	1.4448550330369811e-09
24	CXCL3	8.209695248364018e-10
25	CXCL1	8.584566004214464e-08
26	CCL27	1.4201692016560613e-07
27	CXCR3	1.5484594937991533e-07
28	CCL7	1.6096666281672572e-07
29	THBS1	7.839400134975301e-07
30	COL2A1	4.7256962810448845e-08
31	COL4A1	4.164368625245562e-07
32	BGN	3.9754753439328334e-08
33	COL18A1	5.071022497948582e-07
34	COL6A1	1.6316061697296386e-06
35	MAG	2.34530198334783e-08
36	COL5A1	6.563030981400161e-08
37	C1QTNF1	8.460412688110923e-09
38	LAIR2	1.0514173724279877e-08
39	COLGALT2	4.593074638380848e-09
40	COL4A2	6.648972172967797e-10
41	COL9A1	1.8124027285915695e-09
42	COL8A2	4.918662229803566e-09
43	COL12A1	7.403777993306318e-09
44	C1QC	1.0353692182224846e-08
45	COL6A2	1.3581526666089108e-09
46	C1QTNF9	2.364359815124519e-09
47	COL14A1	1.534691902355677e-10
48	C1QTNF9B	9.593693926990626e-10
49	C1QTNF2	4.61818027169851e-09
50	PLOD3	5.511547671290168e-09
51	COLQ	6.051059031211233e-10
52	COL21A1	6.377676748007312e-10
53	PLOD1	4.307728463456484e-10
54	COL4A6	3.833691746005531e-10
55	COL1A1	1.5866280203724908e-09
56	COLEC12	3.1975738355644255e-07
57	COL13A1	4.2811429035405414e-07
58	DCN	6.909323318593345e-07
59	LEPREL2	1.945411278429331e-06
60	C1QB	1.3461492156355174e-06
61	PLOD2	2.5522763977538757e-07
62	COLEC11	1.3377169620250893e-07
63	C1QA	1.617858118394308e-07
64	COLEC10	1.9380228932574184e-07
65	VHL	2.2658949395511176e-07
66	P3H4	5.181845170140291e-07
67	SPARC	1.191341038131832e-06
68	COLGALT1	1.3426570289291852e-06
69	TGM2	3.302443020205672e-07
70	ITGAV	1.2619435677676436e-06
71	COL23A1	2.119951175024825e-06
72	COL7A1	4.109055129919392e-06
73	OS9	4.514547356343637e-06
74	PRELP	2.601412250275614e-06
75	FBXO2	3.2990071596475168e-06
76	SCARA3	4.738375071471725e-07
77	TMEM106B	8.568840130286753e-07
78	HSPG2	1.4632248013698363e-06
79	IL5RA	6.141518426156071e-07
80	LAMA5	8.763269576099018e-07
81	NID2	1.4267403367928722e-07
82	TMEM25	1.2323439168402148e-07
83	LAMA1	1.5678783960832534e-07
84	FBLN2	9.587571250527656e-09
85	NID1	5.81133324496931e-08
86	HSPA5	2.9003768201743377e-07
87	LAMC1	4.364258615143523e-08
88	CRP	5.362202676278864e-09
89	LY86	3.903591994375684e-08
90	LAMB2	4.0028676783367916e-08
91	NCR3	5.540599628745705e-09
92	PRG2	1.6129500826610198e-08
93	LAMC3	1.6084720327500584e-09
94	GUSB	7.31565272595546e-09
95	SDF2L1	1.3155719547322517e-09
96	C1QL4	6.222540552949849e-10
97	TAZ	6.59318679596406e-10
98	POGLUT1	2.0128362803681554e-10
99	LYZL2	1.1714901627337413e-11
100	CNTNAP3	4.0239286346658925e-11
