#rank	DIAMOnD_node	p_hyper
1	PF4	1.947140403974122e-08
2	CXCL6	7.159719846647278e-08
3	CCL8	5.86523178220361e-10
4	XCL2	2.6909730114680196e-09
5	CXCL12	4.838174337456744e-10
6	CXCL17	9.262410244328516e-12
7	CXCL10	1.2594085660148515e-13
8	CCL26	2.1423271017239103e-15
9	CCL13	1.426667930878748e-17
10	CCL28	1.9842857680528328e-19
11	XCL1	6.542459058324482e-19
12	CXCL11	2.6669051865344927e-19
13	CCL21	2.2459124435435026e-21
14	CXCL14	1.211840679813235e-22
15	CXCL9	3.116720897464185e-22
16	PPBP	4.4592521051858286e-23
17	PF4V1	3.98314667753374e-17
18	CCL25	6.859233522746358e-13
19	CCL24	5.649814350223384e-12
20	CCL20	6.478439872639891e-12
21	VCAN	4.184902024290075e-12
22	CXCL5	4.284314070180471e-10
23	CXCL3	3.00648314817759e-10
24	CCL17	5.835445199858808e-10
25	CXCL1	3.400614597828383e-08
26	CCL7	7.132749768725562e-08
27	CXCR3	7.470589316013837e-08
28	CCL27	8.758096024089483e-08
29	COL2A1	6.713111809211153e-07
30	THBS1	4.672435728696423e-06
31	COL4A1	1.7456298156053457e-07
32	BGN	1.667376509224063e-08
33	COL18A1	1.5737065462914746e-07
34	COL6A1	5.179656054110758e-07
35	COLGALT2	7.240667788063455e-07
36	C1QTNF1	9.408228509482037e-08
37	COL4A2	5.641856966217906e-09
38	LAIR2	3.345553935272203e-09
39	COL5A1	6.125398565949879e-10
40	MAG	1.3003281694906281e-08
41	COL1A1	2.4997982432626013e-09
42	COL8A2	6.604425723745508e-08
43	COL12A1	2.466483167310964e-09
44	C1QTNF9	3.279932404281235e-08
45	COL6A2	8.821735583859079e-09
46	COL9A1	1.0302767765071002e-09
47	C1QC	4.799180371455653e-09
48	COL14A1	9.582306304693752e-10
49	C1QTNF9B	3.081012570368121e-10
50	PLOD3	1.1341118812830248e-09
51	COL21A1	2.9122881619951356e-10
52	PLOD1	4.7479240727222435e-11
53	COL4A6	1.5229180680905328e-10
54	COLQ	2.588554721889624e-10
55	C1QTNF2	2.1444723039347365e-09
56	COLEC12	1.2188591174265986e-07
57	COL13A1	2.4405759629964435e-07
58	DCN	3.4636647657632177e-07
59	PLOD2	6.973248554993771e-07
60	COLEC11	6.28058900687537e-08
61	COLEC10	8.83937795552547e-08
62	LEPREL2	9.113812540866972e-07
63	C1QB	6.321927311523578e-07
64	P3H4	1.9192398300391076e-07
65	VHL	1.3262913700325455e-06
66	COLGALT1	3.991923991619717e-07
67	SPARC	5.580158612563962e-07
68	OS9	1.0397557692878656e-06
69	PRELP	1.177140492656946e-06
70	COL23A1	1.2453916351941565e-06
71	SCARA3	2.1703970193166598e-06
72	TMEM106B	1.0041711703161926e-06
73	LYZL1	1.3018613901900283e-06
74	DNAJB9	9.172265831358417e-07
75	LYZL2	1.7916938992108258e-06
76	C1QL4	5.953058844701589e-07
77	PDIA4	1.565839649515327e-06
78	NCR3	1.4828830459064375e-07
79	GALNT18	2.1352296563029421e-07
80	IL5RA	2.3940099824493367e-07
81	METRNL	1.1179433909972434e-07
82	PRG2	1.0251423639598208e-07
83	LAMA5	2.766797350544532e-08
84	LAMC1	1.2466437232072442e-08
85	CFC1	2.1481874671022535e-09
86	GUSB	1.805577890844503e-09
87	LY86	8.915206357232773e-10
88	PCSK6	1.682478557456762e-10
89	SDF2L1	1.3642118104034127e-10
90	BMP1	1.0072304474128488e-11
91	CBLN4	1.2506495064442562e-11
92	TTC17	2.267887358257018e-12
93	GGH	3.1680854725521043e-12
94	ART5	1.3459895559143464e-13
95	NAGLU	3.1698044998381594e-13
96	TTC13	6.796943697452955e-13
97	FIBIN	2.1444431214344495e-13
98	OLFM2	1.8265383572321683e-13
99	MFAP4	1.9470171982657895e-14
100	GALNS	3.5086658012153545e-15
