"diffusion_input","diffusion_output_1_heat","diffusion_output_1_rank","diffusion_output_2_heat","diffusion_output_2_rank","diffusion_output_3_heat","diffusion_output_3_rank","diffusion_output_4_heat","diffusion_output_4_rank","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","2.159184017937125E-9","19815","2.331621450985004E-9","19815","2.2291408479472792E-9","19815","1.9728616529445287E-9","19814","2.10281748974281E-9","19814","OR2T12","false","OR2T12"
"0.0","9.141369467133723E-8","19790","7.611099417242669E-8","19795","8.325160045584301E-8","19790","6.601717506718092E-8","19790","6.66397328527524E-8","19791","POTEH","false","POTEH"
"0.0","1.7315405748067228E-7","19771","1.807433854998373E-7","19769","1.759705421361403E-7","19766","8.740565533328395E-8","19788","1.3166516535314648E-7","19777","SPDYE3","false","SPDYE3"
"0.0","7.64805120251301E-8","19792","1.0440072990682244E-5","18833","1.0438671444262343E-5","18582","1.0431034914119258E-5","18305","1.037956003965054E-5","18411","VNN3","false","VNN3"
"0.0","6.83637778534895E-6","19090","6.798924275702642E-6","19198","6.986731597483138E-6","19193","3.4471502010931807E-6","19224","6.258344961759508E-6","19113","LOC100996747","false","LOC100996747"
"0.0","7.007048357992374E-8","19794","9.245264090630922E-8","19791","9.164902099970666E-8","19789","1.0817858522754683E-7","19784","7.830410881742768E-8","19786","GPR19","false","GPR19"
"0.0","3.7114876612051355E-8","19801","5.103627345452239E-8","19800","5.0858764764136245E-8","19798","4.287403398777518E-8","19798","2.702361757100731E-8","19804","OR4A15","false","OR4A15"
"0.0","5.2707170734319065E-8","19798","7.830710121735356E-8","19793","5.43088487595128E-8","19797","5.462821598987071E-8","19795","7.732029787992457E-8","19787","PRIMA1","false","PRIMA1"
"0.0","2.7272279480533386E-6","19404","2.67431006128719E-6","19428","2.711312832051576E-6","19425","2.0580797457615685E-6","19392","2.221434766126577E-6","19424","KRT8P3","false","KRT8P3"
"0.0","2.1463144022500273E-8","19808","3.690364053240701E-8","19808","3.681487225466263E-8","19805","1.6959861565835022E-8","19810","3.6725426058759804E-8","19800","OR52E6","false","OR52E6"
"0.0","1.5333899058411952E-7","19777","1.4379950826170334E-7","19782","1.8368884266403072E-7","19764","1.6762186832658328E-7","19761","1.665135275232943E-7","19766","OR6N1","false","OR6N1"
