#rank	DIAMOnD_node	p_hyper
1	SDC1	1.048399987717013e-07
2	SDC2	2.4265378286588083e-07
3	CXCL12	2.3291643740717837e-06
4	CCL11	1.5739334104935211e-06
5	PF4	2.864731236347909e-08
6	CXCL11	1.3044094332205425e-08
7	XCL1	2.379612038180592e-10
8	CXCL10	2.7868589586488554e-11
9	CCL13	6.220670007329023e-13
10	CCL28	9.510447915371021e-15
11	CXCL14	1.868397625478198e-16
12	CCL26	3.398974747264925e-17
13	CCL21	4.099443114230211e-19
14	CXCL17	2.9210985394959895e-21
15	CXCL9	2.8993456854569687e-20
16	PPBP	2.4912768939999494e-18
17	CCL8	3.1615505256774776e-19
18	XCL2	8.566092897347399e-18
19	CCL2	8.702589060934785e-20
20	PF4V1	6.508344418369653e-17
21	CCL25	9.472538192943648e-13
22	CXCL6	1.2588848190094897e-12
23	CCL24	7.842990810350467e-12
24	CCL20	9.577132217185606e-12
25	VCAN	4.184154861239524e-10
26	CCL17	7.116893120734848e-10
27	CXCL5	5.2647076024377475e-08
28	CXCL3	4.374546117671393e-10
29	CXCL1	4.634487385032308e-08
30	CXCR3	9.130929764896868e-08
31	CCL27	1.0175495521518984e-07
32	MMP9	4.0337725239424337e-07
33	CXCL13	5.979057081555453e-06
34	ACKR4	3.873054456573502e-06
35	THBS1	7.0050542757015765e-06
36	COL2A1	1.0575556584130454e-06
37	BGN	1.7433465531693658e-06
38	COL4A1	2.7384925477965616e-07
39	MMP2	1.8369386993570645e-07
40	CCL7	1.3948675993676898e-07
41	MAG	1.2283724218071506e-06
42	COL5A1	3.8360274736768424e-08
43	COL6A1	1.073721922247771e-06
44	COL9A1	1.631667782119583e-07
45	C1QTNF1	1.765443864536199e-07
46	COL18A1	2.15216161998583e-08
47	LAIR2	6.924220440253181e-09
48	COLGALT2	2.8656517500573853e-09
49	COL1A1	5.6635716454962764e-09
50	COL4A2	1.5119886287014387e-08
51	COL8A2	3.2762718427737436e-09
52	COL12A1	4.952125505420793e-09
53	C1QC	7.346129362655735e-09
54	COL6A2	8.198160121785604e-10
55	C1QTNF9	1.5960681963589343e-09
56	COL14A1	8.826238516370697e-11
57	C1QTNF9B	6.175862367994478e-10
58	PLOD3	2.8407853439988822e-09
59	COLQ	3.917431002652201e-10
60	COL21A1	4.677685663795956e-10
61	PLOD1	1.8022833624712786e-10
62	COL4A6	2.660292507723931e-10
63	C1QTNF2	4.126870570071517e-09
64	COLEC12	2.1330061700991714e-07
65	COL13A1	3.381209660859441e-07
66	DCN	5.17214054683175e-07
67	PLOD2	1.3614508478283793e-06
68	COLEC11	9.337344139409625e-08
69	C1QB	9.632199127484203e-07
70	VHL	4.5457265257438645e-07
71	COLGALT1	6.226470775117678e-07
72	TGM2	1.3117631146816705e-07
73	SPARC	7.921892090964028e-07
74	COL23A1	1.4847576513705703e-06
75	LEPREL2	1.964561686594463e-06
76	C1QA	1.4093214133686873e-07
77	COL7A1	3.0597135298058273e-06
78	SCARA3	3.354064256770667e-06
79	FBXO2	6.935513306385709e-06
80	ITGAV	9.028245564430946e-07
81	PRELP	1.9388694935732367e-06
82	OS9	2.9805894687660755e-06
83	P3H4	5.476941176967061e-07
84	COLEC10	2.2325627331966336e-07
85	TMEM106B	4.764971525933442e-07
86	LYZL1	2.8619694540890543e-06
87	DNAJB9	2.3703782907342404e-06
88	LYZL2	2.495957201011984e-07
89	C1QL4	1.1902705184886254e-06
90	NCR3	3.331874329164203e-07
91	LAMA5	6.963330425715115e-07
92	PTPRK	7.032559263790298e-07
93	MANBA	9.570272838432422e-08
94	LY86	1.5636508493039533e-07
95	GALNT18	2.4427126456007243e-08
96	TAZ	2.128135254184994e-08
97	NID2	8.146362883226837e-09
98	TMEM25	8.132418543218359e-10
99	POGLUT1	1.2077007881719959e-09
100	RLN1	3.863543890299769e-09
